Transaction_ID,Date,Department,Expense_Category,Region,Payment_Method,Revenue,Expense,Profit,Manager,Employees_Count,Country,Currency
29,2025-06-05,Procurement,Training,Central,"Bank Transfer",88876,7865,81011,Tara,45,India,INR
30,2025-09-18,Legal,Software,North,Card,130705,85669,45036,Shruti,38,India,INR
31,2025-10-24,Operations,Travel,East,"Bank Transfer",57625,41283,16342,Karan,55,India,INR
32,2025-09-22,R&D,Contractors,North,Card,56401,25889,30512,Divya,55,India,INR
33,2025-02-14,IT,Utilities,International,Card,100722,32801,67921,Neha,51,US,USD
34,2025-09-19,Procurement,Training,Online,Card,22548,4433,18115,Tara,45,Online,Mixed
35,2025-12-05,Finance,Supplies,West,Cash,107000,4099,102901,Vikram,49,India,INR
36,2025-07-24,Sales,Training,Central,"Bank Transfer",26695,16824,9871,Sonia,12,India,INR
37,2025-12-24,IT,Advertising,Corporate,Card,126046,63078,62968,Neha,51,India,INR
38,2025-06-08,Sales,Software,Central,Card,110909,82030,28879,Sonia,12,India,INR
39,2025-01-01,Legal,Software,West,UPI,27003,20202,6801,Shruti,38,India,INR
40,2025-12-12,Support,Maintenance,Central,Cash,28164,9227,18937,Kabir,49,India,INR
41,2025-04-24,HR,Supplies,Corporate,"Bank Transfer",90915,70664,20251,Amit,53,India,INR
42,2025-01-28,Operations,Advertising,East,Card,72432,30853,41579,Karan,55,India,INR
43,2025-01-26,Sales,Travel,North,"Bank Transfer",46300,23431,22869,Sonia,12,India,INR
44,2025-04-08,IT,Maintenance,South,"Bank Transfer",114455,80885,33570,Neha,51,India,INR
45,2025-11-04,Operations,Training,International,Cash,63504,29576,33928,Karan,55,US,USD
46,2025-07-01,Operations,Maintenance,Central,"Bank Transfer",53850,20889,32961,Karan,55,India,INR
47,2025-06-21,Support,Software,Central,"Bank Transfer",104625,73271,31354,Kabir,49,India,INR
48,2025-08-16,Marketing,Software,Online,UPI,134951,25110,109841,Ravi,33,Online,Mixed
49,2025-07-07,Sales,Advertising,Corporate,"Bank Transfer",121152,73068,48084,Sonia,12,India,INR
50,2025-12-14,Finance,Maintenance,South,Card,46763,29616,17147,Vikram,49,India,INR
51,2025-02-21,Finance,Contractors,Online,Card,136653,58019,78634,Vikram,49,Online,Mixed
52,2025-10-22,HR,Travel,North,UPI,50019,19129,30890,Amit,53,India,INR
53,2025-11-01,HR,Supplies,West,"Bank Transfer",142571,27535,115036,Amit,53,India,INR
54,2025-03-18,Marketing,Maintenance,East,Cash,66075,2859,63216,Ravi,33,India,INR
55,2025-04-02,Support,Utilities,South,"Bank Transfer",15356,6207,9149,Kabir,49,India,INR
56,2025-05-22,HR,Maintenance,Central,UPI,70699,34139,36560,Amit,53,India,INR
57,2025-03-18,HR,Supplies,South,Cash,123621,66238,57383,Amit,53,India,INR
58,2025-03-12,IT,Maintenance,International,Card,90876,23071,67805,Neha,51,US,USD
59,2025-02-08,Operations,Software,North,Cash,13375,6372,7003,Karan,55,India,INR
60,2025-03-08,Support,Software,South,"Bank Transfer",90860,34441,56419,Kabir,49,India,INR
61,2025-07-25,Procurement,Utilities,International,Card,37354,15402,21952,Tara,45,US,USD
62,2025-09-01,Finance,Utilities,Corporate,Cash,59381,11264,48117,Vikram,49,India,INR
63,2025-07-07,HR,Software,North,Card,116791,6611,110180,Amit,53,India,INR
64,2025-04-15,IT,Supplies,North,Card,139802,71232,68570,Neha,51,India,INR
65,2025-10-14,HR,Training,International,"Bank Transfer",34787,14139,20648,Amit,53,US,USD
66,2025-04-18,R&D,Utilities,Online,Cash,14943,8767,6176,Divya,55,Online,Mixed
67,2025-05-21,HR,Travel,Corporate,"Bank Transfer",92431,58593,33838,Amit,53,India,INR
68,2025-05-13,R&D,Training,Corporate,Card,71837,42833,29004,Divya,55,India,INR
69,2025-10-12,Support,Advertising,Online,"Bank Transfer",103343,73896,29447,Kabir,49,Online,Mixed
70,2025-07-06,HR,Maintenance,North,Cash,97135,9521,87614,Amit,53,India,INR
71,2025-06-14,Procurement,Maintenance,South,Cash,10213,7288,2925,Tara,45,India,INR
72,2025-10-08,Support,Maintenance,West,Cash,42103,27116,14987,Kabir,49,India,INR
73,2025-11-25,Sales,Contractors,Online,Card,108598,22117,86481,Sonia,12,Online,Mixed
74,2025-01-01,Sales,Contractors,West,"Bank Transfer",101227,54941,46286,Sonia,12,India,INR
75,2025-09-26,Sales,Training,East,Cash,65538,12993,52545,Sonia,12,India,INR
76,2025-07-18,Marketing,Utilities,Corporate,"Bank Transfer",23234,6093,17141,Ravi,33,India,INR
77,2025-01-23,Legal,Supplies,Online,"Bank Transfer",125059,49499,75560,Shruti,38,Online,Mixed
78,2025-03-05,Sales,Utilities,Central,Cash,123653,16996,106657,Sonia,12,India,INR
79,2025-02-24,Finance,Travel,North,Cash,74646,58878,15768,Vikram,49,India,INR
80,2025-04-05,Marketing,Maintenance,North,Cash,105868,22795,83073,Ravi,33,India,INR
81,2025-10-05,IT,Utilities,East,"Bank Transfer",87926,32782,55144,Neha,51,India,INR
82,2025-11-07,IT,Travel,International,Card,87830,62848,24982,Neha,51,US,USD
83,2025-10-24,Marketing,Supplies,Central,Cash,43968,5085,38883,Ravi,33,India,INR
84,2025-05-21,R&D,Maintenance,Corporate,Card,10671,7247,3424,Divya,55,India,INR
85,2025-09-28,Sales,Utilities,International,UPI,147605,14500,133105,Sonia,12,US,USD
86,2025-07-22,Operations,Utilities,West,Card,81385,62347,19038,Karan,55,India,INR
87,2025-11-15,Procurement,Contractors,International,Cash,20616,7694,12922,Tara,45,US,USD
88,2025-08-17,IT,Travel,Corporate,Card,113144,33622,79522,Neha,51,India,INR
89,2025-08-14,Finance,Utilities,West,UPI,129034,88463,40571,Vikram,49,India,INR
90,2025-04-07,HR,Advertising,East,Card,107851,8420,99431,Amit,53,India,INR
91,2025-08-01,Sales,Software,International,Card,43565,10081,33484,Sonia,12,US,USD
92,2025-06-28,Finance,Travel,Central,Cash,19976,15913,4063,Vikram,49,India,INR
93,2025-08-23,IT,Maintenance,Central,UPI,125426,81238,44188,Neha,51,India,INR
94,2025-09-04,Legal,Training,East,Card,15277,3064,12213,Shruti,38,India,INR
95,2025-04-01,Marketing,Training,East,Cash,114110,70877,43233,Ravi,33,India,INR
96,2025-12-01,Operations,Training,West,UPI,33326,7690,25636,Karan,55,India,INR
97,2025-09-10,Procurement,Contractors,East,"Bank Transfer",21718,10964,10754,Tara,45,India,INR
98,2025-03-27,R&D,Travel,International,Card,27221,13685,13536,Divya,55,US,USD
99,2025-09-13,Procurement,Maintenance,Corporate,Cash,46723,31332,15391,Tara,45,India,INR
100,2025-11-08,Procurement,Utilities,Central,Card,114062,30130,83932,Tara,45,India,INR
101,2025-01-12,IT,Utilities,International,"Bank Transfer",65505,30184,35321,Neha,51,US,USD
102,2025-02-24,Procurement,Travel,East,"Bank Transfer",42751,3612,39139,Tara,45,India,INR
103,2025-06-20,Procurement,Software,Corporate,Card,84285,23706,60579,Tara,45,India,INR
104,2025-03-06,Operations,Contractors,Central,UPI,32843,17489,15354,Karan,55,India,INR
105,2025-02-24,IT,Advertising,Online,Cash,24405,14683,9722,Neha,51,Online,Mixed
106,2025-09-28,Legal,Travel,South,UPI,18105,2518,15587,Shruti,38,India,INR
107,2025-11-17,Procurement,Travel,International,Card,26196,10425,15771,Tara,45,US,USD
108,2025-07-04,Support,Contractors,Online,Cash,26899,7274,19625,Kabir,49,Online,Mixed
109,2025-09-14,Marketing,Supplies,East,UPI,103968,44712,59256,Ravi,33,India,INR
110,2025-11-05,Sales,Advertising,South,Cash,131601,89205,42396,Sonia,12,India,INR
111,2025-06-07,IT,Utilities,Corporate,"Bank Transfer",115066,9335,105731,Neha,51,India,INR
112,2025-10-22,IT,Utilities,Online,"Bank Transfer",33901,15372,18529,Neha,51,Online,Mixed
113,2025-10-15,Marketing,Advertising,North,UPI,47813,18469,29344,Ravi,33,India,INR
114,2025-09-07,Operations,Contractors,North,Card,10380,3267,7113,Karan,55,India,INR
115,2025-06-13,Procurement,Maintenance,Corporate,Card,149017,79038,69979,Tara,45,India,INR
116,2025-01-21,Sales,Contractors,South,"Bank Transfer",77739,43661,34078,Sonia,12,India,INR
117,2025-10-02,HR,Training,Online,Card,51399,39740,11659,Amit,53,Online,Mixed
118,2025-10-06,R&D,Advertising,International,Cash,101959,59526,42433,Divya,55,US,USD
119,2025-04-03,Finance,Advertising,International,UPI,87441,58265,29176,Vikram,49,US,USD
120,2025-07-22,Sales,Training,North,UPI,78436,40088,38348,Sonia,12,India,INR
121,2025-07-11,Procurement,Contractors,Central,UPI,16237,6233,10004,Tara,45,India,INR
122,2025-04-24,IT,Maintenance,South,UPI,69145,36394,32751,Neha,51,India,INR
123,2025-07-04,Finance,Software,Online,"Bank Transfer",65229,47992,17237,Vikram,49,Online,Mixed
124,2025-08-21,R&D,Utilities,South,Cash,21908,10577,11331,Divya,55,India,INR
125,2025-12-13,Procurement,Contractors,Online,"Bank Transfer",49583,22130,27453,Tara,45,Online,Mixed
126,2025-12-20,Operations,Advertising,International,UPI,47710,2005,45705,Karan,55,US,USD
127,2025-08-20,Sales,Contractors,Online,Cash,83266,52908,30358,Sonia,12,Online,Mixed
128,2025-05-22,IT,Advertising,West,Card,117792,51364,66428,Neha,51,India,INR
129,2025-11-12,R&D,Travel,South,Card,27644,3232,24412,Divya,55,India,INR
130,2025-08-28,HR,Supplies,South,Card,27773,20089,7684,Amit,53,India,INR
131,2025-06-11,Sales,Travel,North,Card,26982,2331,24651,Sonia,12,India,INR
132,2025-09-17,Marketing,Advertising,Corporate,Cash,101913,51093,50820,Ravi,33,India,INR
133,2025-08-14,Operations,Maintenance,International,Cash,103501,43364,60137,Karan,55,US,USD
134,2025-06-15,R&D,Software,East,"Bank Transfer",64737,2859,61878,Divya,55,India,INR
135,2025-06-06,Support,Contractors,Online,Card,88102,44086,44016,Kabir,49,Online,Mixed
136,2025-04-23,Support,Contractors,West,"Bank Transfer",138608,90634,47974,Kabir,49,India,INR
137,2025-07-03,Procurement,Utilities,Corporate,"Bank Transfer",131743,93678,38065,Tara,45,India,INR
138,2025-07-05,Operations,Maintenance,International,UPI,54997,24161,30836,Karan,55,US,USD
139,2025-06-04,HR,Contractors,Corporate,Card,142607,24823,117784,Amit,53,India,INR
140,2025-08-11,HR,Advertising,South,Card,44367,20100,24267,Amit,53,India,INR
141,2025-10-18,Marketing,Training,East,Card,53946,34069,19877,Ravi,33,India,INR
142,2025-02-28,R&D,Advertising,West,Card,48530,13426,35104,Divya,55,India,INR
143,2025-04-15,Marketing,Supplies,Online,Cash,16912,8752,8160,Ravi,33,Online,Mixed
144,2025-12-13,Operations,Software,East,"Bank Transfer",85626,31364,54262,Karan,55,India,INR
145,2025-05-14,R&D,Software,Corporate,Cash,70589,49906,20683,Divya,55,India,INR
146,2025-04-21,Finance,Advertising,East,UPI,118472,34048,84424,Vikram,49,India,INR
147,2025-01-13,IT,Maintenance,Central,Cash,37045,17592,19453,Neha,51,India,INR
148,2025-04-27,Legal,Advertising,South,Card,34588,22496,12092,Shruti,38,India,INR
149,2025-12-17,Sales,Utilities,Online,UPI,82623,24283,58340,Sonia,12,Online,Mixed
150,2025-06-23,Operations,Software,East,Cash,90666,27781,62885,Karan,55,India,INR
151,2025-03-23,Marketing,Contractors,Online,Cash,93014,21776,71238,Ravi,33,Online,Mixed
152,2025-06-12,R&D,Supplies,Central,Card,115020,63375,51645,Divya,55,India,INR
153,2025-08-19,HR,Supplies,Corporate,"Bank Transfer",21830,12553,9277,Amit,53,India,INR
154,2025-11-08,Legal,Supplies,North,UPI,108383,39278,69105,Shruti,38,India,INR
155,2025-11-12,HR,Utilities,East,Card,62699,36541,26158,Amit,53,India,INR
156,2025-01-12,Legal,Software,International,Card,65834,25064,40770,Shruti,38,US,USD
157,2025-09-27,HR,Contractors,International,UPI,54703,26895,27808,Amit,53,US,USD
158,2025-09-20,IT,Utilities,East,UPI,45071,28532,16539,Neha,51,India,INR
159,2025-07-16,Finance,Advertising,International,"Bank Transfer",84595,16006,68589,Vikram,49,US,USD
160,2025-06-12,R&D,Software,Online,UPI,86763,62364,24399,Divya,55,Online,Mixed
161,2025-04-15,Finance,Software,Online,Card,59548,45914,13634,Vikram,49,Online,Mixed
162,2025-11-02,Finance,Advertising,Online,"Bank Transfer",124036,24054,99982,Vikram,49,Online,Mixed
163,2025-03-26,Operations,Utilities,East,UPI,104441,70116,34325,Karan,55,India,INR
164,2025-06-08,Legal,Advertising,Corporate,UPI,128508,10171,118337,Shruti,38,India,INR
165,2025-08-22,Support,Supplies,Corporate,Cash,129113,4755,124358,Kabir,49,India,INR
166,2025-08-06,Sales,Advertising,East,Card,103918,3766,100152,Sonia,12,India,INR
167,2025-05-15,IT,Software,Corporate,"Bank Transfer",148706,100445,48261,Neha,51,India,INR
168,2025-08-01,R&D,Software,International,Card,128622,98433,30189,Divya,55,US,USD
169,2025-05-15,Operations,Utilities,East,"Bank Transfer",92997,10894,82103,Karan,55,India,INR
170,2025-12-20,IT,Supplies,International,"Bank Transfer",128310,9779,118531,Neha,51,US,USD
171,2025-04-16,Operations,Contractors,North,"Bank Transfer",19339,12973,6366,Karan,55,India,INR
172,2025-04-20,Marketing,Maintenance,International,Card,21459,2052,19407,Ravi,33,US,USD
173,2025-10-04,IT,Maintenance,Corporate,"Bank Transfer",139382,49563,89819,Neha,51,India,INR
174,2025-12-19,R&D,Contractors,West,Cash,91854,53941,37913,Divya,55,India,INR
175,2025-08-02,HR,Training,South,UPI,141786,60571,81215,Amit,53,India,INR
176,2025-03-13,Marketing,Contractors,Online,UPI,144517,46968,97549,Ravi,33,Online,Mixed
177,2025-10-03,Sales,Contractors,North,Card,21082,13076,8006,Sonia,12,India,INR
178,2025-08-08,Operations,Utilities,Central,UPI,72672,39143,33529,Karan,55,India,INR
179,2025-09-07,Operations,Utilities,Online,UPI,88822,31518,57304,Karan,55,Online,Mixed
180,2025-07-05,Support,Software,Central,Card,57406,38738,18668,Kabir,49,India,INR
181,2025-06-28,Sales,Utilities,North,Cash,69721,26614,43107,Sonia,12,India,INR
182,2025-09-18,Support,Travel,West,Cash,47939,13926,34013,Kabir,49,India,INR
183,2025-11-27,Sales,Advertising,Central,UPI,68649,24806,43843,Sonia,12,India,INR
184,2025-07-02,Procurement,Training,East,Card,59901,26933,32968,Tara,45,India,INR
185,2025-09-08,HR,Contractors,South,Card,122080,13225,108855,Amit,53,India,INR
186,2025-03-01,Finance,Utilities,North,Card,25255,13393,11862,Vikram,49,India,INR
187,2025-11-27,Support,Contractors,East,Cash,29599,18317,11282,Kabir,49,India,INR
188,2025-12-22,Legal,Supplies,East,Card,43085,3516,39569,Shruti,38,India,INR
189,2025-08-24,Marketing,Supplies,West,"Bank Transfer",97205,7084,90121,Ravi,33,India,INR
190,2025-12-23,Marketing,Supplies,West,"Bank Transfer",20273,12531,7742,Ravi,33,India,INR
191,2025-10-13,Sales,Travel,South,Card,123173,74584,48589,Sonia,12,India,INR
192,2025-11-09,IT,Training,Online,UPI,60586,27071,33515,Neha,51,Online,Mixed
193,2025-03-25,Operations,Travel,Central,Cash,68437,11391,57046,Karan,55,India,INR
194,2025-10-15,Operations,Software,West,Cash,55662,9551,46111,Karan,55,India,INR
195,2025-02-04,Support,Contractors,Corporate,UPI,76903,15525,61378,Kabir,49,India,INR
196,2025-05-23,Operations,Maintenance,Online,"Bank Transfer",20333,10501,9832,Karan,55,Online,Mixed
197,2025-05-15,Operations,Supplies,Online,Card,29060,7560,21500,Karan,55,Online,Mixed
198,2025-11-20,Operations,Training,North,Card,43506,28221,15285,Karan,55,India,INR
199,2025-08-07,Marketing,Utilities,South,UPI,145189,56889,88300,Ravi,33,India,INR
200,2025-09-08,HR,Supplies,Central,Card,66845,26104,40741,Amit,53,India,INR
201,2025-08-11,Finance,Training,East,UPI,36892,24528,12364,Vikram,49,India,INR
202,2025-06-13,R&D,Supplies,Corporate,Card,46263,26002,20261,Divya,55,India,INR
203,2025-10-22,Sales,Travel,International,"Bank Transfer",30826,7698,23128,Sonia,12,US,USD
204,2025-08-20,Operations,Supplies,East,UPI,104421,17132,87289,Karan,55,India,INR
205,2025-02-10,Finance,Advertising,International,Cash,9713,4958,4755,Vikram,49,US,USD
206,2025-07-26,HR,Training,Corporate,Card,57518,8577,48941,Amit,53,India,INR
207,2025-05-06,IT,Supplies,Online,UPI,130629,56703,73926,Neha,51,Online,Mixed
208,2025-02-08,Procurement,Utilities,International,Cash,103089,65162,37927,Tara,45,US,USD
209,2025-03-23,Legal,Contractors,Corporate,Card,128268,33340,94928,Shruti,38,India,INR
210,2025-04-10,IT,Software,Online,UPI,136273,102038,34235,Neha,51,Online,Mixed
211,2025-06-18,Legal,Maintenance,East,Card,110944,20166,90778,Shruti,38,India,INR
212,2025-11-21,R&D,Advertising,East,Cash,73878,3384,70494,Divya,55,India,INR
213,2025-09-02,Operations,Software,West,Card,59345,41436,17909,Karan,55,India,INR
214,2025-07-05,R&D,Travel,East,UPI,15269,2937,12332,Divya,55,India,INR
215,2025-02-04,IT,Utilities,North,Cash,74942,2592,72350,Neha,51,India,INR
216,2025-11-09,HR,Supplies,West,Card,54202,11606,42596,Amit,53,India,INR
217,2025-01-06,Marketing,Training,West,UPI,35982,13634,22348,Ravi,33,India,INR
218,2025-08-06,Operations,Training,East,Card,128029,52957,75072,Karan,55,India,INR
219,2025-04-21,Support,Software,West,Cash,134075,15865,118210,Kabir,49,India,INR
220,2025-06-19,HR,Advertising,Central,Cash,51013,16933,34080,Amit,53,India,INR
221,2025-06-27,Sales,Contractors,Online,"Bank Transfer",25352,19510,5842,Sonia,12,Online,Mixed
222,2025-12-09,Marketing,Travel,West,Cash,68519,22927,45592,Ravi,33,India,INR
223,2025-11-13,Sales,Utilities,Central,"Bank Transfer",72666,42982,29684,Sonia,12,India,INR
224,2025-08-08,Sales,Travel,International,Cash,86248,68423,17825,Sonia,12,US,USD
225,2025-06-20,Legal,Maintenance,Central,UPI,9938,2994,6944,Shruti,38,India,INR
226,2025-02-24,HR,Travel,North,UPI,65740,35558,30182,Amit,53,India,INR
227,2025-09-05,Procurement,Software,South,"Bank Transfer",34795,15269,19526,Tara,45,India,INR
228,2025-02-03,Finance,Supplies,Online,Cash,34269,14485,19784,Vikram,49,Online,Mixed
229,2025-07-21,HR,Software,North,Card,63826,21712,42114,Amit,53,India,INR
230,2025-09-02,Procurement,Advertising,North,Cash,63180,4761,58419,Tara,45,India,INR
231,2025-06-26,Procurement,Software,Online,Card,68024,13635,54389,Tara,45,Online,Mixed
232,2025-10-19,Procurement,Utilities,West,"Bank Transfer",46097,6221,39876,Tara,45,India,INR
233,2025-12-22,Support,Maintenance,West,Card,21599,7660,13939,Kabir,49,India,INR
234,2025-06-07,Marketing,Training,Online,Card,35553,9451,26102,Ravi,33,Online,Mixed
235,2025-10-12,Support,Contractors,West,"Bank Transfer",84062,29074,54988,Kabir,49,India,INR
236,2025-06-28,Sales,Contractors,South,"Bank Transfer",144066,94680,49386,Sonia,12,India,INR
237,2025-07-17,Support,Utilities,Central,Cash,84791,57144,27647,Kabir,49,India,INR
238,2025-11-26,Sales,Contractors,North,"Bank Transfer",62033,36250,25783,Sonia,12,India,INR
239,2025-06-11,HR,Travel,Corporate,Cash,92324,26228,66096,Amit,53,India,INR
240,2025-11-08,HR,Supplies,South,Card,113569,31264,82305,Amit,53,India,INR
241,2025-11-20,HR,Utilities,South,UPI,88768,6894,81874,Amit,53,India,INR
242,2025-11-12,Finance,Utilities,West,UPI,13057,2759,10298,Vikram,49,India,INR
243,2025-02-03,Sales,Utilities,Online,UPI,100647,20374,80273,Sonia,12,Online,Mixed
244,2025-05-05,IT,Software,International,Cash,38570,8309,30261,Neha,51,US,USD
245,2025-08-12,Sales,Software,South,"Bank Transfer",37402,28493,8909,Sonia,12,India,INR
246,2025-09-16,Sales,Maintenance,International,"Bank Transfer",110378,29747,80631,Sonia,12,US,USD
247,2025-06-16,HR,Utilities,Online,UPI,109151,38051,71100,Amit,53,Online,Mixed
248,2025-11-19,R&D,Travel,East,UPI,18346,9664,8682,Divya,55,India,INR
249,2025-01-16,Sales,Software,International,Card,65278,42559,22719,Sonia,12,US,USD
250,2025-04-28,Operations,Training,East,Card,82731,13414,69317,Karan,55,India,INR
251,2025-11-12,Sales,Advertising,International,UPI,73630,42279,31351,Sonia,12,US,USD
252,2025-03-07,R&D,Training,East,UPI,21576,5942,15634,Divya,55,India,INR
253,2025-11-17,Finance,Training,West,UPI,101156,58932,42224,Vikram,49,India,INR
254,2025-02-09,Sales,Training,Online,Cash,112995,3865,109130,Sonia,12,Online,Mixed
255,2025-06-05,Legal,Training,North,Card,22636,7944,14692,Shruti,38,India,INR
256,2025-01-07,HR,Training,Central,Card,16378,12181,4197,Amit,53,India,INR
257,2025-10-03,Sales,Supplies,East,Cash,45124,12956,32168,Sonia,12,India,INR
258,2025-02-03,IT,Utilities,East,UPI,109913,28189,81724,Neha,51,India,INR
259,2025-10-07,R&D,Advertising,West,UPI,56979,24776,32203,Divya,55,India,INR
260,2025-01-22,Finance,Utilities,Corporate,UPI,49305,24982,24323,Vikram,49,India,INR
261,2025-01-19,Finance,Supplies,East,Cash,59293,2392,56901,Vikram,49,India,INR
262,2025-12-28,Operations,Advertising,West,"Bank Transfer",75127,13466,61661,Karan,55,India,INR
263,2025-11-13,Procurement,Utilities,Online,"Bank Transfer",134669,6059,128610,Tara,45,Online,Mixed
264,2025-12-05,Finance,Software,Corporate,Card,139176,101356,37820,Vikram,49,India,INR
265,2025-05-10,Marketing,Supplies,Central,Cash,77580,11678,65902,Ravi,33,India,INR
266,2025-07-05,Finance,Training,Online,"Bank Transfer",128998,26677,102321,Vikram,49,Online,Mixed
267,2025-09-16,R&D,Software,Corporate,UPI,81427,64635,16792,Divya,55,India,INR
268,2025-03-10,HR,Utilities,Online,Card,129169,47217,81952,Amit,53,Online,Mixed
269,2025-06-28,R&D,Travel,North,Card,98834,71807,27027,Divya,55,India,INR
270,2025-05-26,HR,Travel,North,"Bank Transfer",112604,11881,100723,Amit,53,India,INR
271,2025-04-28,Sales,Maintenance,Central,"Bank Transfer",132686,90751,41935,Sonia,12,India,INR
272,2025-08-23,Legal,Advertising,Central,Card,42882,19340,23542,Shruti,38,India,INR
273,2025-09-01,IT,Travel,Central,Card,20169,9564,10605,Neha,51,India,INR
274,2025-09-14,Procurement,Travel,Online,Card,122515,70246,52269,Tara,45,Online,Mixed
275,2025-12-13,Legal,Maintenance,South,UPI,52057,40005,12052,Shruti,38,India,INR
276,2025-06-23,Marketing,Supplies,South,Card,71530,16965,54565,Ravi,33,India,INR
277,2025-07-05,Procurement,Supplies,Central,Cash,26814,4298,22516,Tara,45,India,INR
278,2025-02-08,Procurement,Advertising,Central,"Bank Transfer",8657,4746,3911,Tara,45,India,INR
279,2025-05-07,Marketing,Maintenance,Corporate,Cash,94588,35212,59376,Ravi,33,India,INR
280,2025-04-27,IT,Advertising,Central,Cash,102346,26385,75961,Neha,51,India,INR
281,2025-02-25,Finance,Contractors,South,UPI,81668,41035,40633,Vikram,49,India,INR
282,2025-12-10,Legal,Travel,West,UPI,92008,24009,67999,Shruti,38,India,INR
283,2025-07-11,Operations,Software,South,Card,68820,5407,63413,Karan,55,India,INR
284,2025-06-04,Finance,Contractors,Corporate,Cash,116037,60477,55560,Vikram,49,India,INR
285,2025-10-19,Operations,Advertising,International,UPI,44583,21955,22628,Karan,55,US,USD
286,2025-09-03,Support,Travel,International,UPI,34415,24276,10139,Kabir,49,US,USD
287,2025-08-02,Marketing,Contractors,Central,UPI,5541,3056,2485,Ravi,33,India,INR
288,2025-06-09,Support,Travel,North,Card,67041,40053,26988,Kabir,49,India,INR
289,2025-12-15,IT,Supplies,Corporate,Card,36055,10098,25957,Neha,51,India,INR
290,2025-03-03,Marketing,Supplies,Online,Card,69890,16065,53825,Ravi,33,Online,Mixed
291,2025-11-25,Legal,Utilities,Central,"Bank Transfer",72709,56867,15842,Shruti,38,India,INR
292,2025-08-19,Operations,Training,North,Cash,105953,64015,41938,Karan,55,India,INR
293,2025-12-15,R&D,Advertising,South,UPI,131420,66097,65323,Divya,55,India,INR
294,2025-10-14,Sales,Supplies,East,Card,128660,74101,54559,Sonia,12,India,INR
295,2025-04-15,Support,Training,North,"Bank Transfer",44683,31769,12914,Kabir,49,India,INR
296,2025-05-10,Marketing,Contractors,South,Card,30571,14574,15997,Ravi,33,India,INR
297,2025-09-28,Procurement,Advertising,Corporate,UPI,113459,23541,89918,Tara,45,India,INR
298,2025-11-08,Procurement,Advertising,South,Cash,138394,79296,59098,Tara,45,India,INR
299,2025-02-09,HR,Maintenance,Corporate,Card,139506,11910,127596,Amit,53,India,INR
300,2025-12-04,Marketing,Advertising,South,Card,84249,38433,45816,Ravi,33,India,INR
301,2025-04-12,Marketing,Software,Corporate,Card,22384,10853,11531,Ravi,33,India,INR
302,2025-06-19,Marketing,Supplies,North,Cash,67752,4593,63159,Ravi,33,India,INR
